eyliad |See Eiliad.
eyne |Plural of eye; obsolete, or used only in poetry. Shak. With such a plaintive gaze their eyne Are fastened upwardly on mine. Mrs. Browning.
eyot |A little island in a river or lake. See Ait. [Written also ait, ayt, eey, eyet, and eyght.] Blackstone.
eyr |Air. [Obs.] Chaucer.
eyra |A wild cat (Felis eyra) ranging from southern Brazil to Texas. It is reddish yellow and about the size of the domestic cat, but with a more slender body and shorter legs.
eyre |A journey in circuit of certain judges called justices in eyre (or in itinere). Note: They were itinerant judges, who rode the circuit, holding courts in the different counties.
eyren |See Ey, an egg.
eyrie |The nest of a bird of prey or other large bird that builds in a lofty place; aerie. The eagle and the stork On cliffs and cedar tops their eyries build. Milton.
eyry |The nest of a bird of prey or other large bird that builds in a lofty place; aerie. The eagle and the stork On cliffs and cedar tops their eyries build. Milton.
eysell |Same as Eisel. [Obs.] Shak.
f |. 1. F is the sixth letter of the English alphabet, and a nonvocal consonant. Its form and sound are from the Latin. The Latin borrowed the form from the Greek digamma w consonant. The form and value of Greek letter came from the Phoenician, the ultimate source being probably Egyptian. Etymologically fis most closely related to p,k,v, and b; as in E. five, Gr. f, L. lupus, Gr. fox, vixen ; fragile, break ; fruit, brook, v. t.; E. bear, L. ferre. See Guide to Pronunciation, sq. root 178, 179, 188, 198, 230. 2. (Mus.)  The name of the fourth tone of the model scale, or scale of C. F sharp (F #) is a tone intermediate between F and G. F clef, the bass clef. See under Clef.
fa |(a) A syllable applied to the fourth tone of the diatonic scale in solmization. (b) The tone F.
fabaceous |Having the nature of a bean; like a bean.
fabella |One of the small sesamoid bones situated behind the condyles of the femur, in some mammals.
fabian |Of, pertaining to, or in the manner of, the Roman general, Quintus Fabius Maximus Verrucosus; cautious; dilatory; avoiding a decisive contest. Fabian policy, a policy like that of Fabius Maximus, who, by carefully avoiding decisive contests, foiled Hannibal, harassing his army by marches, countermarches, and ambuscades; a policy of delays and cautions.
