cadetship |The position, rank, or commission of a cadet; as, to get a cadetship.
cadew |A caddice. See Caddice.
cadeworm |A caddice. See Caddice.
cadge |1. To carry, as a burden. [Prov. Eng. & Scot.] Halliwell. 2. To hawk or peddle, as fish, poultry, etc. [Prov.] 3. To intrude or live on another meanly; to beg. [Prov. or Slang, Eng.] Wright.\n\nA circular frame on which cadgers carry hawks for sale.
cadger |1. A packman or itinerant huckster. 2. One who gets his living by trickery or begging. [Prov. or Slang] \"The gentleman cadger.\" Dickens.\n\nOne who carries hawks on a cadge.
cadgy |Cheerful or mirthful, as after good eating or drinking; also, wanton. [Scot. & Prov. Eng.]
cadi |An inferior magistrate or judge among the Mohammedans, usually the judge of a town or village.
cadie |A Scotch errand boy, porter, or messenger. [Written also cady.] Every Scotchman, from the peer to the cadie. Macaulay.
cadilesker |A chief judge in the Turkish empire, so named originally because his jurisdiction extended to the cases of soldiers, who are now tried only by their own officers.
cadillac |A large pear, shaped like a flattened top, used chiefly for cooking. Johnson.
cadis |A kind of coarse serge.
cadmean |Of or pertaining to Cadmus, a fabulous prince of Thebes, who was said to have introduced into Greece the sixteen simple letters of the alphabet -- Cadmean letters. Cadmean victory, a victory that damages the victors as much as the vanquished; probably referring to the battle in which the soldiers who sprang from the dragon's teeth sown by Cadmus slew each other.
cadmia |An oxide of zinc which collects on the sides of furnaces where zinc is sublimed. Formerly applied to the mineral calamine.
cadmian |See Cadmean.
cadmic |Pertaining to, derived from, or containing, cadmium; as, cadmic sulphide.
cadmium |A comparatively rare element related to zinc, and occurring in some zinc ores. It is a white metal, both ductile and malleable. Symbol Cd. Atomic weight 111.8. It was discovered by Stromeyer in 1817, who named it from its association with zinc or zinc ore. Cadmium yellow, a compound of cadmium and sulphur, of an intense yellow color, used as a pigment.
cadrans |An instrument with a graduated disk by means of which the angles of gems are measured in the process of cutting and polishing.
cadre |The framework or skeleton upon which a regiment is to be formed; the officers of a regiment forming the staff. [Written also cader.]
caducary |Relating to escheat, forfeiture, or confiscation.
caducean |Of or belonging to Mercury's caduceus, or wand.
caduceus |The official staff or wand of Hermes or Mercury, the messenger of the gods. It was originally said to be a herald's staff of olive wood, but was afterwards fabled to have two serpents coiled about it, and two wings at the top.
caducibranchiate |With temporary gills: -- applied to those Amphibia in which the gills do not remain in adult life.
caducity |Tendency to fall; the feebleness of old age; senility. [R.] [A] jumble of youth and caducity. Chesterfield.
caducous |Dropping off or disappearing early, as the calyx of a poppy, or the gills of a tadpole.
caduke |Perishable; frail; transitory. [Obs.] Hickes. The caduke pleasures of his world. Bp. Fisher.
cady |See Cadie.
caeca |See Cæcum.
caecal |1. Of or pertaining to the cæcum, or blind gut. 2. Having the form of a cæcum, or bag with one opening; baglike; as, the cæcal extremity of a duct.
caecias |A wind from the northeast. Milton.
caecilian |A limbless amphibian belonging to the order Cæciliæ or Ophimorpha. See Ophiomorpha. [Written also coecilian.]
caecum |(a) A cavity open at one end, as the blind end of a canal or duct. (b) The blind part of the large intestine beyond the entrance of the small intestine; -- called also the blind gut. Note: The cæcum is comparatively small in man, and ends in a slender portion, the vermiform appendix; but in herbivorous mammals it is often as large as the rest of the large intestine. In fishes there are often numerous intestinal cæca.
caelatura |Art of producing metal decorative work other than statuary, as reliefs, intaglios, engraving, chasing, etc.
caen stone |A cream-colored limestone for building, found near Caen, France.
caenozoic |See Cenozoic.
caesar |A Roman emperor, as being the successor of Augustus Cæsar. Hence, a kaiser, or emperor of Germany, or any emperor or powerful ruler. See Kaiser, Kesar. Malborough anticipated the day when he would be servilely flattered and courted by Cæsar on one side and by Louis the Great on the other. Macaulay.
caesarean |Of or pertaining to Cæsar or the Cæsars; imperial. Cæsarean section (Surg.), the operation of taking a child from the womb by cutting through the walls of the abdomen and uterus; -- so called because Julius Cæsar is reported to have been brought into the world by such an operation.
caesarian |Of or pertaining to Cæsar or the Cæsars; imperial. Cæsarean section (Surg.), the operation of taking a child from the womb by cutting through the walls of the abdomen and uterus; -- so called because Julius Cæsar is reported to have been brought into the world by such an operation.
caesarism |A system of government in which unrestricted power is exercised by a single person, to whom, as Cæsar or emperor, it has been committed by the popular will; imperialism; also, advocacy or support of such a system of government. Note: This word came into prominence in the time of Napoleon III., as an expression of the claims and political views of that emperor, and of the politicians of his court.
caesious |Of the color of lavender; pale blue with a slight mixture of gray. Lindley.
caesium |A rare alkaline metal found in mineral water; -- so called from the two characteristic blue lines in its spectrum. It was the first element discovered by spectrum analysis, and is the most strongly basic and electro-positive substance known. Symbol Cs. Atomic weight 132.6.
caespitose |Same as Cespitose.
caesura |A metrical break in a verse, occurring in the middle of a foot and commonly near the middle of the verse; a sense pause in the middle of a foot. Also, a long syllable on which the cæsural accent rests, or which is used as a foot. Note: In the following line the cæsura is between study and of. The prop | er stud | y  of | mankind | is man.
caesural |Of or pertaining to a cæsura. Cæsural pause, a pause made at a cæsura.
cafe |A coffeehouse; a restaurant; also, a room in a hotel or restaurant where coffee and liquors are served.
cafeneh |A humble inn or house of rest for travelers, where coffee is sold. [Turkey]
cafenet |A humble inn or house of rest for travelers, where coffee is sold. [Turkey]
cafeteria |A restaurant or café at which the patrons serve themselves with food kept at a counter, taking the food to small tables to eat. [U. S.]
caffeic |Pertaining to, or obtained from, coffee. Caffeic acid, an acid obtained from coffee tannin, as a yellow crystalline substance, C9H8O4.
caffeine |A white, bitter, crystallizable substance, obtained from coffee. It is identical with the alkaloid theine from tea leaves, and with guaranine from guarana.
caffetannic |Pertaining to, or derived from, the tannin of coffee. Caffetannic acid, a variety of tannin obtained from coffee berries, regarded as a glucoside.
caffila |See Cafila.
caffre |See Kaffir.
cafila |A caravan of travelers; a military supply train or government caravan; a string of pack horses.
cafileh |A caravan of travelers; a military supply train or government caravan; a string of pack horses.
caftan |A garment worn throughout the Levant, consisting of a long gown with sleeves reaching below the hands. It is generally fastened by a belt or sash.\n\nTo clothe with a caftan. [R.] The turbaned and caftaned damsel. Sir W. Scott.
cag |See Keg. [Obs.]
cage |1. A box or inclosure, wholly or partly of openwork, in wood or metal, used for confining birds or other animals. In his cage, like parrot fine and gay. Cowper. 2. A place of confinement for malefactors Shak. Stone walls do not a prison make, Nor iron bars a cage. Lovelace. 3. (Carp.)  An outer framework of timber, inclosing something within it; as the cage of a staircase. Gwilt. 4. (Mach.) (a) A skeleton frame to limit the motion of a loose piece, as a ball valve. (b) A wirework strainer, used in connection with pumps and pipes. 5. The box, bucket, or inclosed platform of a lift or elevator; a cagelike structure moving in a shaft. 6. (Mining)  The drum on which the rope is wound in a hoisting whim. 7. (Baseball)  The catcher's wire mask.\n\nTo confine in, or as in, a cage; to shut up or confine. \"Caged and starved to death.\" Cowper.
caged |Confined in, or as in, a cage; like a cage or prison. \"The caged cloister.\" Shak.
cageling |A bird confined in a cage; esp. a young bird. [Poetic] Tennyson.
cagit |A king of parrot, of a beautiful green color, found in the Philippine Islands.
cagmag |A tough old goose; hence, coarse, bad food of any kind. [Prov. Eng.] Halliwell.
cagot |One of a race inhabiting the valleys of the Pyrenees, who until 1793 were political and social outcasts (Christian Pariahs). They are supposed to be a remnant of the Visigoths.
cahenslyism |A plan proposed to the Pope in 1891 by P. P. Cahensly, a member of the German parliament, to divide the foreign-born population of the United States, for ecclesiastical purposes, according to European nationalities, and to appoint bishops and priests of like race and speaking the same language as the majority of the members of a diocese or congregation. This plan was successfully opposed by the American party in the Church.
cahier |1. A namber of sheets of paper put loosely together; esp. one of the successive portions of a work printed in numbers. 2. A memorial of a body; a report of legislative proceedings, etc.
cahinca root |The root of an American shrub (Chiococca racemosa), found as far north as Florida Keys, from which cahincic acid is obtained; also, the root of the South American Chiococca anguifuga, a celebrated antidote for snake poison.
cahincic |Pertaining to, or derived from, cahinca, the native name of a species of Brazilian Chiococca, perhaps C. recemosa; as, cahincic acid.
cahoot |Partnership; as to go in cahoot with a person. [Slang, southwestern U. S.] Bartlett.
caimacam |The governor of a sanjak or district in Turkey.
caiman |See Cayman.
cainozoic |(Geol.) See Cenozic.
caique |A light skiff or rowboat used on the Bosporus; also, a Levantine vessel of larger size.
caird |A traveling tinker; also a tramp or sturdy beggar. [Prov. Eng.]
cairn |1. A rounded or conical heap of stones erected by early inhabitants of the British Isles, apparently as a sepulchral monument. Now here let us place the gray stone of her cairn. Campbell. 2. A pile of stones heaped up as a landmark, or to arrest attention, as in surveying, or in leaving traces of an exploring party, etc. C. Kingsley. Kane.
cairngormstone |A yellow or smoky brown variety of rock crystal, or crystallized quartz, found esp, in the mountain of Cairngorm, in Scotland.
caisson |1. (Mil.) (a) A chest to hold ammunition. (b) A four-wheeled carriage for conveying ammunition, consisting of two parts, a body and a limber. In light field batteries there is one caisson to each piece, having two ammunition boxes on the body, and one on the limber. Farrow. (c) A chest filled with explosive materials, to be laid in the way of an enemy and exploded on his appoach. 2. (a) A water-tight box, of timber or iron within which work is carried on in building foundations or structures below the water level. (b) A hollow floating box, usually of iron, which serves to close the entrances of docks and basins. (c) A structure, usually with an air chamber, placed beneath a vessel to lift or float it. 3. (Arch.)  A sunk panel of ceilings or soffits. Pneumatic caisson (Engin.), a caisson, closed at the top but open at the bottom, and resting upon the ground under water. The pressure of air forced into the caisson keeps the water out. Men and materials are admitted to the interior through an air lock. See Lock.
caisson disease |A disease frequently induced by remaining for some time in an atmosphere of high pressure, as in caissons, diving bells, etc. It is characterized by neuralgic pains and paralytic symptoms. It is variously explained, most probably as due to congestion of internal organs with subsequent stasis of the blood.
