hogpen |A pen or sty for hogs.
hogreeve |A civil officer charged with the duty of impounding hogs running at large. [New Eng.] Bartlett.
hogringer |One who puts rings into the snouts of hogs. HOG'S-BACK Hog's\"-back`, n. (Geol.)  A hogback.
hogscore |A distance lime brawn across the rink or course between the middle line and the tee. [Scot.]
hogshead |1. An English measure of capacity, containing 63 wine gallons, or about 52 Note: The London hogshead of beer was 54 beer gallons, the London hogshead of ale was 48 ale gallons. Elsewhere in England the ale and beer hogsheads held 51 gallons. These measures are no longer in use, except for cider. 2. A large cask or barrel, of indefinite contents; esp. one containing from 100 to 140 gallons. [U. S.]
hogskin |Leather tanned from a hog's skin. Also used adjectively.
hogsty |A pen, house, or inclosure, for hogs.
hogwash |Swill. Arbuthnot.
hogweed |(a) A common weed (Ambrosia artemisiæge). See Ambrosia, 3. (b) In England, the Heracleum Sphondylium.
hoiden |1. A rude, clownish youth. [Obs.] Milton. 2. A rude, bold girl; a romp. H. Kingsley.\n\nRustic; rude; bold. Younq.\n\nTo romp rudely or indecently. Swift.
hoidenhood |State of being a hoiden.
hoidenish |Like, or appropriate to, a hoiden.
hoise |To hoist. [Obs.] They . . . hoised up the mainsail to the wind. Acts xxvii. 40.
hoist |To raise; to lift; to elevate; esp., to raise or lift to a desired elevation, by means of tackle, as a sail, a flag, a heavy package or weight. They land my goods, and hoist my flying sails. Pope. Hoisting him into his father's throne. South. Hoisting engine, a steam engine for operating a hoist.\n\n1. That by which anything is hoisted; the apparatus for lifting goods. 2. The act of hoisting; a lift. [Collog.] 3. (fly, or horizontal length when flying from a staff. (b) The height of a fore-and-aft sail next the mast or stay. Totten. Hoist bridge, a drawbridge that is lifted instead of being swung or drawn aside.\n\nHoisted. [Obs.] 'Tis the sport to have the enginer Hoist with his own petar. Shak.
hoistaway |A mechanical lift. See Elevator.
hoistway |An opening for the hoist, or
hoit |To leap; to caper; to romp noisily. [Obs.] Beau. & Fl.
hoity-toity |Thoughtless; giddy; flighty; also, haughty; patronizing; as, to be in hoity-toity spirits, or to assume hoity-toity airs; used also as an exclamation, denoting surprise or disapprobation, with some degree of contempt. Hoity-toity! What have I to do with dreams Congreve.
hokeday |Same as Hockday.
hoker |Scorn; derision; abusive talk. [Obs.] -- Ho\"ker*ly, adv. [Obs.] Chaucer.
hol |Whole. [Obs.] Chaucer.
holarctic |Of or pert. to the arctic regions collectively; specif. (Zoögeography),  designating a realm or region including the northern parts of the Old and the New World. It comprises the Palearctic and Nearctic regions or subregions.
holaspidean |Having a single series of large scutes on the posterior side of the tarsus; -- said of certain birds.
holcad |A large ship of burden, in ancient Greece. Mitford.
