divestment |The act of divesting. [R.]
divesture |Divestiture. [Obs.]
divet |See Divot.
divi-divi |A small tree of tropical America (Cæsalpinia coriaria), whose legumes contain a large proportion of tannic and gallic acid, and are used by tanners and dyers.
dividable |1. Capable of being divided; divisible. 2. Divided; separated; parted. [Obs.] Shak.
dividant |Different; distinct. [Obs.] Shak.
divide |1. To part asunder (a whole); to sever into two or more parts or pieces; to sunder; to separate into parts. Divide the living child in two. 1 Kings iii. 25. 2. To cause to be separate; to keep apart by a partition, or by an imaginary line or limit; as, a wall divides two houses; a stream divides the towns. Let it divide the waters from the waters. Gen. i. 6. 3. To make partition of among a number; to apportion, as profits of stock among proprietors; to give in shares; to distribute; to mete out; to share. True justice unto people to divide. Spenser. Ye shall divide the land by lot. Num. xxxiii. 54. 4. To disunite in opinion or interest; to make discordant or hostile; to set at variance. If a kingdom be divided against itself, that kingdom can not stand. Mark iii. 24. Every family became now divided within itself. Prescott. 5. To separate into two parts, in order to ascertain the votes for and against a measure; as, to divide a legislative house upon a question. 6. (Math.)  To subject to arithmetical division. 7. (Logic)  To separate into species; -- said of a genus or generic term. 8. (Mech.)  To mark divisions on; to graduate; as, to divide a sextant. 9. (Music)  To play or sing in a florid style, or with variations. [Obs.] Spenser. Syn. -- To sever; dissever; sunder; cleave; disjoin; disunite; detach; disconnect; part; distribute; share.\n\n1. To be separated; to part; to open; to go asunder. Milton. The Indo-Germanic family divides into three groups. J. Peile. 2. To cause separation; to disunite. A gulf, a strait, the sea intervening between islands, divide less than the matted forest. Bancroft. 3. To break friendship; to fall out. Shak. 4. To have a share; to partake. Shak. 5. To vote, as in the British Parliament, by the members separating themselves into two parties (as on opposite sides of the hall or in opposite lobbies), that is, the ayes dividing from the noes. The emperors sat, voted, and divided with their equals. Gibbon.\n\nA dividing ridge of land between the tributaries of two streams; a watershed.
divided |1. Parted; disunited; distributed. 2. (Bot.)  Cut into distinct parts, by incisions which reach the midrib; - - said of a leaf.
dividedly |Separately; in a divided manner.
dividend |1. A sum of money to be divided and distributed; the share of a sum divided that falls to each individual; a distribute sum, share, or percentage; -- applied to the profits as appropriated among shareholders, and to assets as apportioned among creditors; as, the dividend of a bank, a railway corporation, or a bankrupt estate. 2. (Math.)  A number or quantity which is to be divided.
divident |Dividend; share. [Obs.] Foxe.
divider |1. One who, or that which, divides; that which separates anything into parts. 2. One who deals out to each his share. Who made me a judge or a divider over you Luke xii. 14. 3. One who, or that which, causes division. Hate is of all things the mightiest divider. Milton. Money, the great divider of the world. Swift. 4. pl.  An instrument for dividing lines, describing circles, etc., compasses. See Compasses. Note: The word dividers is usually applied to the instrument as made for the use of draughtsmen, etc.; compasses to the coarser instrument used by carpenters.
dividing |That divides; separating; marking divisions; graduating. Dividing engine, a machine for graduating circles (as for astronomical instruments) or bars (as for scales); also, for spacing off and cutting teeth in wheels. -- Dividing sinker. (Knitting Mach.). See under Sinker.
dividingly |By division.
dividual |Divided, shared, or participated in, in common with others. [R.] Milton.
dividually |By dividing. [R.]
dividuous |Divided; dividual. [R.] He so often substantiates distinctions into dividuous, selfsubsistent. Coleridge.
