teacher |1. One who teaches or instructs; one whose business or occupation is to instruct others; an instructor; a tutor. 2. One who instructs others in religion; a preacher; a minister of the gospel; sometimes, one who preaches without regular ordination. The teachers in all the churches assembled. Sir W. Raleigh.
teaching |The act or business of instructing; also, that which is taught; instruction. Syn. -- Education; instruction; breeding. See Education.
teachless |Not teachable. [R.] Shelley.
teacup |A small cup from which to drink tea.
teacupful |As much as a teacup can hold; enough to fill a teacup.
tead |A torch. [Obs.] \"A burning teade.\" Spenser.
teade |A torch. [Obs.] \"A burning teade.\" Spenser.
teagle |A hoisting apparatus; an elevator; a crane; a lift. [Prov. Eng.]
teague |An Irishman; -- a term used in contempt. Johnson.
teak |A tree of East Indies (Tectona grandis) which furnishes an extremely strong and durable timber highly valued for shipbuilding and other purposes; also, the timber of the tree. [Written also teek.] African teak, a tree (Oldfieldia Africana) of Sierra Leone; also, its very heavy and durable wood; -- called also African oak. -- New Zeland teak, a large tree (Vitex littoralis) of New Zeland; also, its hard, durable timber.
teakettle |A kettle in which water is boiled for making tea, coffee, etc.
teal |Any one of several species of small fresh-water ducks of the genus Anas and the subgenera Querquedula and Nettion. The male is handsomely colored, and has a bright green or blue speculum on the wings. Note: The common European teal (Anas crecca) and the European blue- winged teal, or garganey (A. querquedula or A. circia), are well- known species. In America the blue-winged teal (A. discors), the green-winged teal (A. Carolinensis), and the cinnamon teal (A. cynaoptera) are common species, valued as game birds. See Garganey. Goose teal, a goslet. See Goslet. -- Teal duck, the common European teal.
team |1. A group of young animals, especially of young ducks; a brood; a litter. A team of ducklings about her. Holland. 2. Hence, a number of animals moving together. A long team of snowy swans on high. Dryden. 3. Two or more horses, oxen, or other beasts harnessed to the same vehicle for drawing, as to a coach, wagon, sled, or the like. \"A team of dolphins.\" Spenser. To take his team and till the earth. Piers Plowman. It happened almost every day that coaches stuck fast, until a team of cattle could be procured from some neighboring farm to tug them out of the slough. Macaulay. 4. A number of persons associated together in any work; a gang; especially, a number of persons selected to contend on one side in a match, or a series of matches, in a cricket, football, rowing, etc. 5. (Zoöl.)  A flock of wild ducks. 6. (O. Eng. Law)  A royalty or privilege granted by royal charter to a lord of a manor, of having, keeping, and judging in his court, his bondmen, neifes, and villains, and their offspring, or suit, that is, goods and chattels, and appurtenances thereto. Burrill.\n\nTo engage in the occupation of driving a team of horses, cattle, or the like, as in conveying or hauling lumber, goods, etc.; to be a teamster. team up, to form one or more teams, either for a common endeavor, or to compete in a contest.\n\nTo convey or haul with a team; as, to team lumber. [R.] Thoreau.
teamed |Yoked in, or as in, a team. [Obs.] Let their teamed fishes softly swim. Spenser.
teaming |1. The act or occupation of driving a team, or of hauling or carrying, as logs, goods, or the like, with a team. 2. (Manuf.)  Contract work. [R.] Knight.
teamster |One who drives a team.
teamwork |Work done by a team, as distinguished from that done by personal labor.
teapot |A vessel with a spout, in which tea is made, and from which it is poured into teacups.
teapoy |An ornamental stand, usually with three legs, having caddies for holding tea.
tear |1. (Physiol.)  A drop of the limpid, saline fluid secreted, normally in small amount, by the lachrymal gland, and diffused between the eye and the eyelids to moisten the parts and facilitate their motion. Ordinarily the secretion passes through the lachrymal duct into the nose, but when it is increased by emotion or other causes, it overflows the lids. And yet for thee ne wept she never a tear. Chaucer. 2. Something in the form of a transparent drop of fluid matter; also, a solid, transparent, tear-shaped drop, as of some balsams or resins. Let Araby extol her happy coast, Her fragrant flowers, her trees with precious tears. Dryden. 3. That which causes or accompanies tears; a lament; a dirge. [R.] \"Some melodous tear.\" Milton. Note: Tear is sometimes used in the formation of self-explaining compounds; as, tear-distilling, tear-drop, tear-filled, tear-stained, and the like.\n\n1. To separate by violence; to pull apart by force; to rend; to lacerate; as, to tear cloth; to tear a garment; to tear the skin or flesh. Tear him to pieces; he's a conspirator. Shak. 2. Hence, to divide by violent measures; to disrupt; to rend; as, a party or government torn by factions. 3. To rend away; to force away; to remove by force; to sunder; as, a child torn from its home. The hand of fate Hath torn thee from me. Addison. 4. To pull with violence; as, to tear the hair. 5. To move violently; to agitate. \"Once I loved torn ocean's roar.\" Byron. To tear a cat, to rant violently; to rave; -- especially applied to theatrical ranting. [Obs.] Shak. -- To tear down, to demolish violently; to pull or pluck down. -- To tear off, to pull off by violence; to strip. -- To tear out, to pull or draw out by violence; as, to tear out the eyes. -- To tear up, to rip up; to remove from a fixed state by violence; as, to tear up a floor; to tear up the foundation of government or order.\n\n1. To divide or separate on being pulled; to be rent; as, this cloth tears easily. 2. To move and act with turbulent violence; to rush with violence; hence, to rage; to rave.\n\nThe act of tearing, or the state of being torn; a rent; a fissure. Macaulay. Wear and tear. See under Wear, n.
tear-falling |Shedding tears; tender. [Poetic] \"Tear-falling pity.\" Shak.
tear-thumb |A name given to several species of plants of the genus Polygonum, having angular stems beset with minute reflexed prickles.
tearer |One who tears or rends anything; also, one who rages or raves with violence.
tearful |Abounding with tears; weeping; shedding tears; as, tearful eyes. -- Tear\"ful*ly, adv. -- Tear\"ful*ness, n.
tearless |Shedding no tears; free from tears; unfeeling. -- Tear\"less*ly, adv. -- Tear\"less*ness, n.
tearpit |A cavity or pouch beneath the lower eyelid of most deer and antelope; the lachrymal sinus; larmier. It is capable of being opened at pleasure and secretes a waxy substance.
teary |1. Wet with tears; tearful. 2. Consisting of tears, or drops like tears.
