transposal |The act of transposing, or the state of being transposed; transposition.
transpose |1. To change the place or order of; to substitute one for the other of; to exchange, in respect of position; as, to transpose letters, words, or propositions. 2. To change; to transform; to invert. [R.] Things base and vile, holding no quantity, Love can transpose to form and dignity. Shak. 3. (Alg.)  To bring, as any term of an equation, from one side over to the other, without destroying the equation; thus, if a + b = c, and we make a = c - b, then b is said to be transposed. 4. (Gram.)  To change the natural order of, as words. 5. (Mus.)  To change the key of.
transposer |One who transposes.
transposition |The act of transposing, or the state of being transposed. Specifically: --(a) (Alg.)  The bringing of any term of an equation from one side over to the other without destroying the equation. (b) (Gram.) A change of the natural order of words in a sentence; as, the Latin and Greek languages admit transposition, without inconvenience, to a much greater extent than the English. (c) (Mus.) A change of a composition into another key.
transpositional |Of or pertaining to transposition; involving transposition. Pegge.
transpositive |Made by transposing; consisting in transposition; transposable.
transprint |To transfer to the wrong place in printing; to print out of place. [R.] Coleridge.
transprose |To change from prose into verse; to versify; also, to change from verse into prose. [Obs.] Dryden.
transregionate |Foreign. [Obs.] Holinshed.
transshape |To change into another shape or form; to transform. [Written also transhape.] Shak.
transship |To transfer from one ship or conveyance to another. [Written also tranship.]
transshipment |The act of transshipping, or transferring, as goods, from one ship or conveyance to another. [Written also transhipment.]
transsummer |See Transom, 2.
transubstantiate |1. To change into another substance. [R.] The spider love which transubstantiates all, And can convert manna to gall. Donne. 2. (R. C. Theol.)  To change, as the sacramental elements, bread and wine, into the flesh and blood of Christ.
transubstantiation |1. A change into another substance. 2. (R. C. Theol.)  The doctrine held by Roman Catholics, that the bread and wine in the Mass is converted into the body and blood of Christ; -- distinguished from consubstantiation, and impanation.
transubstantiator |One who maintains the doctrine of transubstantiation. Barrow.
transudation |1. The act or process of transuding. 2. (Physics)  Same as Exosmose.
transudatory |Of or pertaining to transudation; passing by transudation.
transude |To pass, as perspirable matter does, through the pores or interstices of textures; as, liquor may transude through leather or wood.
transume |To change; to convert. [R.] Crashaw.
transumpt |A copy or exemplification of a record. [Obs.] Lord Herbert.
transumption |Act of taking from one place to another. [R.] South.
transumptive |Taking from one to another; metaphorical. [R.] \"A transumptive kind of speech.\" Drayton. Fictive, descriptive, digressive, transumptive, and withal definitive. Lowell.
transvasate |To pour out of one vessel into another. [Obs.] Cudworth.
transvasation |The act or process of pouring out of one vessel into another. [Obs.] Holland.
transvection |The act of conveying or carrying over. [R.]
transverberate |To beat or strike through. [Obs.]
transversal |Running or lying across; transverse; as, a transversal line. -- Trans*ver\"sal*ly, adv.\n\nA straight line which traverses or intersects any system of other lines, as a line intersecting the three sides of a triangle or the sides produced.
transverse |Lying or being across, or in a crosswise direction; athwart; -- often opposed to Ant: longitudinal. Transverse axis (of an ellipse or hyperbola) (Geom.), that axis which passes through the foci. -- Transverse partition (Bot.), a partition, as of a pericarp, at right angles with the valves, as in the siliques of mustard.\n\n1. Anything that is transverse or athwart. 2. (Geom.)  The longer, or transverse, axis of an ellipse.\n\nTo overturn; to change. [R.] C. Leslie.\n\nTo change from prose into verse, or from verse into prose. [Obs.] Duke of Buckingham.
transversely |In a transverse manner.
transversion |The act of changing from prose into verse, or from verse into prose.
transvert |To cause to turn across; to transverse. [Obs.] Craft of Lovers (1448).
transvertible |Capable of being transverted. [R.] Sir T. Browne.
transvolation |The act of flying beyond or across. Jer. Taylor.
trant |To traffic in an itinerary manner; to peddle. [Written also traunt.] [Obs.]
tranter |One who trants; a peddler; a carrier. [Written also traunter.] [Obs. or Prov. Eng.]
trap |To dress with ornaments; to adorn; -- said especially of horses. Steeds . . . that trapped were in steel all glittering. Chaucer. To deck his hearse, and trap his tomb-black steed. Spenser. There she found her palfrey trapped In purple blazoned with armorial gold. Tennyson.\n\nAn old term rather loosely used to designate various dark- colored, heavy igneous rocks, including especially the feldspathic- augitic rocks, basalt, dolerite, amygdaloid, etc., but including also some kinds of diorite. Called also trap rock. Trap tufa, Trap tuff, a kind of fragmental rock made up of fragments and earthy materials from trap rocks.\n\nOf or pertaining to trap rock; as, a trap dike.\n\n1. A machine or contrivance that shuts suddenly, as with a spring, used for taking game or other animals; as, a trap for foxes. She would weep if that she saw a mouse Caught in a trap. Chaucer. 2. Fig.: A snare; an ambush; a stratagem; any device by which one may be caught unawares. Let their table be made a snare and a trap. Rom. xi. 9. God and your majesty Protect mine innocence, or I fall into The trap is laid for me! Shak. 3. A wooden instrument shaped somewhat like a shoe, used in the game of trapball. It consists of a pivoted arm on one end of which is placed the ball to be thrown into the air by striking the other end. Also, a machine for throwing into the air glass balls, clay pigeons, etc., to be shot at. 4. The game of trapball. 5. A bend, sag, or partitioned chamber, in a drain, soil pipe, sewer, etc., arranged so that the liquid contents form a seal which prevents passage of air or gas, but permits the flow of liquids. 6. A place in a water pipe, pump, etc., where air accumulates for want of an outlet. 7. A wagon, or other vehicle. [Colloq.] Thackeray. 8. A kind of movable stepladder. Knight. Trap stairs, a staircase leading to a trapdoor. -- Trap tree (Bot.) the jack; -- so called because it furnishes a kind of birdlime. See 1st Jack.\n\n1. To catch in a trap or traps; as, to trap foxes. 2. Fig.: To insnare; to take by stratagem; to entrap. \"I trapped the foe.\" Dryden. 3. To provide with a trap; to trap a drain; to trap a sewer pipe. See 4th Trap, 5.\n\nTo set traps for game; to make a business of trapping game; as, to trap for beaver.
trap shooting |Shooting at pigeons liberated, or glass balls or clay pigeons sprung into the air, from a trap. -- Trap shooter.
trapan |A snare; a stratagem; a trepan. See 3d Trepan. South.\n\nTo insnare; to catch by stratagem; to entrap; to trepan. Having some of his people trapanned at Baldivia. Anson.
trapanner |One who trapans, or insnares.
trapball |An old game of ball played with a trap. See 4th Trap, 4.
trapdoor |1. (Arch.)  A lifting or sliding door covering an opening in a roof or floor. 2. (Mining)  A door in a level for regulating the ventilating current; -- called also weather door. Raymond. Trapdoor spider (Zoöl.), any one of several species of large spiders which make a nest consisting of a vertical hole in the earth, lined with a hinged lid, like a trapdoor. Most of the species belong to the genus Cteniza, as the California species (C. Californica).
trape |To walk or run about in an idle or slatternly manner; to traipse. [Obs. or Colloq.]
trapes |A slattern; an idle, sluttish, or untidy woman. [Obs. or Colloq.]\n\nTo go about in an idle or slatternly fashion; to trape; to traipse. [Colloq.] Thackeray.
trapezate |Having the form of a trapezium; trapeziform.
trapeze |1. (Geom.)  A trapezium. See Trapezium, 1. 2. A swinging horizontal bar, suspended at each end by a rope; -- used by gymnasts.
trapeziform |Having the form of a trapezium; trapezoid.
trapezium |1. (Geom.)  A plane figure bounded by four right lines, of which no two are parallel. 2. (Anat.) (a) A bone of the carpus at the base of the first metacarpal, or thumb. (b) A region on the ventral side of the brain, either just back of the pons Varolii, or, as in man, covered by the posterior extension of its transverse fibers.
trapezohedral |Of, pertaining to, or resembling, a trapezohedron.
trapezohedron |(a) A solid bounded by twenty-four equal and similar trapeziums; a tetragonal trisoctahedron. See the Note under Trisoctahedron. (b) A tetartohedral solid of the hexagonal system, bounded by six trapezoidal planes. The faces of this form are common on quartz crystals.
trapezoid |1. (Geom.)  A plane four-sided figure, having two sides parallel to each other. 2. (Anat.)  A bone of the carpus at the base of the second metacarpal, or index finger.\n\n1. Having the form of a trapezoid; trapezoidal; as, the trapezoid ligament which connects the coracoid process and the clavicle. 2. (Anat.)  Of or pertaining to the trapezoid ligament; as, the trapezoid line.
trapezoidal |1. Having the form of a trapezoid; trapezoid. 2. (Min.)  Tranpezohedral.
traphole |See Trou-de-loup.
trappean |Of or pertaining to trap; being of the nature of trap.
trapper |1. One who traps animals; one who makes a business of trapping animals for their furs. W. Irving. 2. (Mining)  A boy who opens and shuts a trapdoor in a gallery or level. Raymond.
trappings |1. That which serves to trap or adorn; ornaments; dress; superficial decorations. Trappings of life, for ornament, not use. Dryden. These but the trappings and the suits of woe. Shak. 2. Specifically, ornaments to be put on horses. Caparisons and steeds, Bases and tinsel trappings. Milton.
trappist |A monk belonging to a branch of the Cistercian Order, which was established by Armand de Rancé in 1660 at the monastery of La Trappe in Normandy. Extreme austerity characterizes their discipline. They were introduced permanently into the United States in 1848, and have monasteries in Iowa and Kentucky.
trappous |Of or performance to trap; resembling trap, or partaking of its form or qualities; trappy.
trappures |Trappings for a horse. [Obs.] Chaucer.
trappy |Same as Trappous.
traps |Small or portable articles for dress, furniture, or use; goods; luggage; things. [Colloq.]
trapstick |A stick used in playing the game of trapball; hence, fig., a slender leg. Addison.
trash |1. That which is worthless or useless; rubbish; refuse. Who steals my purse steals trash. Shak. A haunch of venison would be trash to a Brahmin. Landor. 2. Especially, loppings and leaves of trees, bruised sugar cane, or the like. Note: In the West Indies, the decayed leaves and stems of canes are called field trash; the bruised or macerated rind of canes is called cane trash; and both are called trash. B. Edwards. 3. A worthless person. [R.] Shak. 4. A collar, leash, or halter used to restrain a dog in pursuing game. Markham. Trash ice, crumbled ice mixed with water.\n\n1. To free from trash, or worthless matter; hence, to lop; to crop, as to trash the rattoons of sugar cane. B. Edwards. 2. To treat as trash, or worthless matter; hence, to spurn, humiliate, or crush. [Obs.] 3. To hold back by a trash or leash, as a dog in pursuing game; hence, to retard, encumber, or restrain; to clog; to hinder vexatiously. [R.] Beau. & Fl.\n\nTo follow with violence and trampling. [R.] The Puritan (1607).
trashily |In a trashy manner.
trashiness |The quality or state of being trashy.
trashy |Like trash; containing much trash; waste; rejected; worthless; useless; as, a trashy novel.
trass |A white to gray volcanic tufa, formed of decomposed trachytic cinders; -- sometimes used as a cement. Hence, a coarse sort of plaster or mortar, durable in water, and used to line cisterns and other reservoirs of water. [Formerly written also tarras, tarrace, terras.] Note: The Dutch trass is made by burning and grinding a soft grayish rock found on the lower Rhine.
traulism |A stammering or stuttering. [Obs.] Dalgarno.
traumatic |(a) Of or pertaining to wounds; applied to wounds. Coxe. (b) Adapted to the cure of wounds; vulnerary. Wiseman. (c) Produced by wounds; as, traumatic tetanus. -- n.  A traumatic medicine.
traumatism |A wound or injury directly produced by causes external to the body; also, violence producing a wound or injury; as, rupture of the stomach caused by traumatism.
traunce |See Trance. [Obs.]
traunt |Same as Trant. [Obs.]
traunter |Same as Tranter. [Obs. or Prov. Eng.]
