aluminum |See Aluminium.
alumish |Somewhat like alum.
alumna |A female pupil; especially, a graduate of a school or college.
alumnus |A pupil; especially, a graduate of a college or other seminary of learning.
alunite |Alum stone.
alunogen |A white fibrous mineral frequently found on the walls of mines and quarries, chiefly hydrous sulphate of alumina; -- also called feather alum, and hair salt.
alure |A walk or passage; -- applied to passages of various kinds. The sides of every street were covered with fresh alures of marble. T. Warton.
alutaceous |1. Leathery. 2. Of a pale brown color; leather-yellow. Brande.
alutation |The tanning or dressing of leather. [Obs.] Blount.
alveary |1. A beehive, or something resembling a beehive. Barret. 2. (Anat.)  The hollow of the external ear. Quincy.
alveated |Formed or vaulted like a beehive.
alveolar |Of, pertaining to, or resembling, alveoli or little cells, sacs, or sockets. Alveolar processes, the processes of the maxillary bones, containing the sockets of the teeth.
alveolary |Alveolar. [R.]
alveolate |Deeply pitted, like a honeycomb.
alveole |Same as Alveolus.
alveoliform |Having the form of alveoli, or little sockets, cells, or cavities.
alveolus |1. A cell in a honeycomb. 2. (Zoöl.)  A small cavity in a coral, shell, or fossil 3. (Anat.)  A small depression, sac, or vesicle, as the socket of a tooth, the air cells of the lungs, the ultimate saccules of glands, etc.
alveus |The channel of a river. Weate.
alvine |Of, from, in, or pertaining to, the belly or the intestines; as, alvine discharges; alvine concretions.
alway |Always. [Archaic or Poetic] I would not live alway. Job vii. 16.
always |1. At all times; ever; perpetually; throughout all time; continually; as, God is always the same. Even in Heaven his [Mammon's] looks and thoughts. Milton. 2. Constancy during a certain period, or regularly at stated intervals; invariably; uniformly; -- opposed to sometimes or occasionally. He always rides a black galloway. Bulwer.
alyssum |A genus of cruciferous plants; madwort. The sweet alyssum (A. maritimum), cultivated for bouquets, bears small, white, sweet- scented flowers.
am |The first person singular of the verb be, in the indicative mode, present tense. See Be. God said unto Moses, I am that am. Exod. iii. 14.
amability |Lovableness. Jer. Taylor. Note: The New English Dictionary (Murray) says this word is \"usefully distinct from Amiability.\",
  "cal |Wolfram, an ore of tungsten. Simmonds.
amacratic |Amasthenic. Sir J. Herschel.
amadavat |The strawberry finch, a small Indian song bird (Estrelda amandava), commonly caged and kept for fighting. The female is olive brown; the male, in summer, mostly crimson; -- called also red waxbill. [Written also amaduvad and avadavat.]
amadou |A spongy, combustible substance, prepared from fungus (Boletus and Polyporus) which grows on old trees; German tinder; punk. It has been employed as a styptic by surgeons, but its common use is as tinder, for which purpose it is prepared by soaking it in a strong solution of niter. Ure.
amain |1. With might; with full force; vigorously; violently; exceedingly. They on the hill, which were not yet come to blows, perceiving the fewness of their enemies, came down amain. Milton. That striping giant, ill-bred and scoffing, shouts amain. T. Parker. 2. At full speed; in great haste; also, at once. \"They fled amain.\" Holinshed.\n\nTo lower, as a sail, a yard, etc.\n\nTo lower the topsail, in token of surrender; to yield.
amalgam |1. An alloy of mercury with another metal or metals; as, an amalgam of tin, bismuth, etc. Note: Medalists apply the term to soft alloys generally. 2. A mixture or compound of different things. 3. (Min.)  A native compound of mercury and silver.\n\nTo amalgamate. Boyle. B. Jonson.
amalgama |Same as Amalgam. They divided this their amalgama into a number of incoherent republics. Burke.
amalgamate |1. To compound or mix, as quicksilver, with another metal; to unite, combine, or alloy with mercury. 2. To mix, so as to make a uniform compound; to unite or combine; as, to amalgamate two races; to amalgamate one race with another. Ingratitude is indeed their four cardinal virtues compacted and amalgamated into one. Burke.\n\n1. To unite in an amalgam; to blend with another metal, as quicksilver. 2. To coalesce, as a result of growth; to combine into a uniform whole; to blend; as, two organs or parts amalgamate.\n\nCoalesced; united; combined.
amalgamated |Coalesced; united; combined.
